Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep
0628;0628;Kartverket;Utgått;29.11.2017;1;Hurum;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0628/1e4b8227-4676-422e-9db9-783c7fc5a03a;
0631;0631;Kartverket;Utgått;29.11.2017;1;Flesberg;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0631/6c457b31-2f74-44eb-9174-579bd1f729ee;
0632;0632;Kartverket;Utgått;29.11.2017;1;Rollag;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0632/b9b3fcce-983c-474f-b6f1-caa0418f7a5c;
0633;0633;Kartverket;Utgått;29.11.2017;1;Nore og Uvdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0633/ca5d9873-030e-4dd2-82fa-9144babb7d22;
0701;0701;Kartverket;Utgått;29.11.2017;1;Horten;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0701/6e6d49ac-375a-4976-a985-8ba2a8bee415;
0702;0702;Kartverket;Utgått;29.11.2017;1;Holmestrand;;01.01.2018 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0702/37a71873-c9a6-43b4-9f3a-579384e99222;
0703;0703;Kartverket;Utgått;29.11.2017;1;Horten;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0703/39185fc1-3cfa-4836-a15a-6a6e18aa7752;
0704;0704;Kartverket;Utgått;29.11.2017;1;Tønsberg;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0704/fc003595-485d-4b57-8ed4-c5bf909df872;
0705;0705;Kartverket;Utgått;29.11.2017;1;Tønsberg;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0705/c91501f9-6a56-47d3-bb66-78be88eeb361;
0706;0706;Kartverket;Utgått;29.11.2017;1;Sandefjord;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0706/7d66cb6b-1fbd-4e6c-adb2-9aa5f603dfb0;
0707;0707;Kartverket;Utgått;29.11.2017;1;Larvik;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0707/24403e5c-d365-4641-add7-5b3599765e5d;
